INDEX,L1_UTM_X,L1_UTM_Y,L1_LON,L1_LAT,R1_UTM_X,R1_UTM_Y,R1_LON,R1_LAT
433,250353.5011,3688324.433,126.3187009,33.30513896,250353.5738,3688324.388,126.3187017,33.30513857
434,250353.62,3688324.564,126.3187022,33.30514017,250353.6867,3688324.524,126.3187029,33.30513982
435,250353.739,3688324.697,126.3187034,33.30514139,250353.7997,3688324.66,126.3187041,33.30514107
436,250353.8579,3688324.829,126.3187046,33.30514261,250353.9132,3688324.795,126.3187052,33.30514232
437,250353.9768,3688324.961,126.3187059,33.30514383,250354.0268,3688324.931,126.3187064,33.30514356
438,250354.0957,3688325.093,126.3187071,33.30514504,250354.1408,3688325.066,126.3187076,33.30514481
439,250354.2145,3688325.225,126.3187083,33.30514626,250354.2551,3688325.2,126.3187088,33.30514605
440,250354.3333,3688325.357,126.3187096,33.30514748,250354.3696,3688325.335,126.31871,33.30514729
441,250354.4522,3688325.489,126.3187108,33.30514869,250354.4845,3688325.469,126.3187112,33.30514852
442,250354.571,3688325.621,126.3187121,33.30514991,250354.5996,3688325.603,126.3187124,33.30514976
443,250354.6898,3688325.753,126.3187133,33.30515112,250354.715,3688325.737,126.3187136,33.30515099
444,250354.8085,3688325.885,126.3187145,33.30515234,250354.8307,3688325.871,126.3187148,33.30515223
445,250354.9273,3688326.016,126.3187158,33.30515355,250354.9467,3688326.005,126.318716,33.30515346
446,250355.0461,3688326.148,126.318717,33.30515477,250355.0629,3688326.138,126.3187172,33.30515468
447,250355.165,3688326.28,126.3187183,33.30515598,250355.1794,3688326.271,126.3187184,33.30515591
448,250355.2839,3688326.412,126.3187195,33.3051572,250355.2961,3688326.404,126.3187196,33.30515714
449,250355.4028,3688326.542,126.3187207,33.30515841,250355.4131,3688326.537,126.3187208,33.30515835
450,250355.5218,3688326.674,126.318722,33.30515962,250355.5304,3688326.669,126.3187221,33.30515958
451,250355.6408,3688326.806,126.3187232,33.30516083,250355.6479,3688326.801,126.3187233,33.3051608
452,250355.7599,3688326.937,126.3187245,33.30516204,250355.7657,3688326.934,126.3187245,33.30516202
453,250355.879,3688327.068,126.3187257,33.30516325,250355.8837,3688327.066,126.3187258,33.30516323
454,250355.9982,3688327.2,126.3187269,33.30516446,250356.002,3688327.197,126.318727,33.30516445
455,250356.1176,3688327.33,126.3187282,33.30516567,250356.1205,3688327.329,126.3187282,33.30516566
456,250356.237,3688327.461,126.3187294,33.30516688,250356.2392,3688327.46,126.3187295,33.30516687
457,250356.3565,3688327.592,126.3187307,33.30516808,250356.3582,3688327.591,126.3187307,33.30516807
458,250356.4762,3688327.723,126.3187319,33.30516929,250356.4774,3688327.722,126.3187319,33.30516928
459,250356.5959,3688327.853,126.3187332,33.30517049,250356.5968,3688327.853,126.3187332,33.30517049
460,250356.7159,3688327.984,126.3187344,33.3051717,250356.7164,3688327.984,126.3187344,33.3051717
461,250356.8359,3688328.114,126.3187357,33.3051729,250356.8363,3688328.114,126.3187357,33.3051729
462,250356.9561,3688328.245,126.3187369,33.3051741,250356.9563,3688328.244,126.3187369,33.3051741
463,250357.0765,3688328.375,126.3187382,33.3051753,250357.0766,3688328.374,126.3187382,33.3051753
464,250357.1971,3688328.504,126.3187394,33.30517649,250357.1971,3688328.504,126.3187394,33.30517649
465,250357.3178,3688328.634,126.3187407,33.30517769,250357.3178,3688328.634,126.3187407,33.30517769
466,250357.4388,3688328.763,126.318742,33.30517888,250357.4388,3688328.763,126.318742,33.30517888
467,250357.5599,3688328.892,126.3187432,33.30518007,250357.5599,3688328.892,126.3187432,33.30518007
468,250357.6813,3688329.021,126.3187445,33.30518126,250357.6813,3688329.021,126.3187445,33.30518126
469,250357.8029,3688329.15,126.3187458,33.30518246,250357.8029,3688329.15,126.3187458,33.30518246
470,250357.9247,3688329.279,126.318747,33.30518364,250357.9247,3688329.279,126.318747,33.30518364
471,250358.0467,3688329.407,126.3187483,33.30518483,250358.0467,3688329.407,126.3187483,33.30518483
472,250358.169,3688329.535,126.3187496,33.30518601,250358.169,3688329.535,126.3187496,33.30518601
473,250358.2916,3688329.663,126.3187509,33.30518719,250358.2916,3688329.663,126.3187509,33.30518719
474,250358.4144,3688329.791,126.3187522,33.30518837,250358.4144,3688329.791,126.3187522,33.30518837
475,250358.5375,3688329.918,126.3187534,33.30518955,250358.5375,3688329.918,126.3187534,33.30518955
476,250358.6609,3688330.045,126.3187547,33.30519072,250358.6609,3688330.045,126.3187547,33.30519072
477,250358.7845,3688330.172,126.318756,33.30519189,250358.7845,3688330.172,126.318756,33.30519189
478,250358.9084,3688330.299,126.3187573,33.30519306,250358.9084,3688330.299,126.3187573,33.30519306
479,250359.0327,3688330.425,126.3187586,33.30519423,250359.0327,3688330.425,126.3187586,33.30519423
480,250359.1573,3688330.551,126.3187599,33.30519539,250359.1573,3688330.551,126.3187599,33.30519539
481,250359.2822,3688330.676,126.3187612,33.30519655,250359.2822,3688330.676,126.3187612,33.30519655
482,250359.4169,3688330.817,126.3187626,33.30519785,250359.4169,3688330.817,126.3187626,33.30519785
483,250359.567,3688330.945,126.3187642,33.30519904,250359.567,3688330.945,126.3187642,33.30519904
484,250359.7012,3688331.089,126.3187656,33.30520037,250359.7012,3688331.089,126.3187656,33.30520037
485,250359.8349,3688331.23,126.318767,33.30520167,250359.8349,3688331.23,126.318767,33.30520167
486,250359.9768,3688331.37,126.3187685,33.30520296,250359.9768,3688331.37,126.3187685,33.30520296
487,250360.0985,3688331.529,126.3187697,33.30520442,250360.0985,3688331.529,126.3187697,33.30520442
488,250360.228,3688331.674,126.3187711,33.30520576,250360.228,3688331.674,126.3187711,33.30520576
489,250360.362,3688331.821,126.3187725,33.30520711,250360.362,3688331.821,126.3187725,33.30520711
490,250360.4987,3688331.962,126.3187739,33.30520842,250360.4987,3688331.962,126.3187739,33.30520842
491,250360.6153,3688332.114,126.3187751,33.30520981,250360.6153,3688332.114,126.3187751,33.30520981
492,250360.7481,3688332.262,126.3187765,33.30521118,250360.7481,3688332.262,126.3187765,33.30521118
493,250360.8727,3688332.413,126.3187778,33.30521257,250360.8727,3688332.413,126.3187778,33.30521257
494,250360.9877,3688332.569,126.318779,33.305214,250360.9877,3688332.569,126.318779,33.305214
495,250361.1184,3688332.716,126.3187804,33.30521535,250361.1184,3688332.716,126.3187804,33.30521535
496,250361.2376,3688332.876,126.3187816,33.30521682,250361.2376,3688332.876,126.3187816,33.30521682
497,250361.3539,3688333.033,126.3187828,33.30521826,250361.3539,3688333.033,126.3187828,33.30521826
