UTM_X,UTM_Y,LAT_DD,LON_DD
250251.507173,3688197.464076,33.3039713287829,126.317641549486
250251.698525,3688197.440103,33.3039711571373,126.31764360931
250251.893157,3688197.415865,33.3039709838642,126.317645704402
250252.088029,3688197.394111,33.3039708330276,126.317647801383
250252.28555,3688197.388815,33.3039708310919,126.317649922245
250252.48113,3688197.402497,33.3039709996985,126.317652017042
250252.674567,3688197.397521,33.3039709996994,126.317654093995
250252.873007,3688197.392416,33.3039709996975,126.317656224665
250253.064187,3688197.402981,33.3039711391999,126.317658273111
250253.260277,3688197.382454,33.3039709997007,126.317660382822
250253.4595,3688197.377329,33.3039709997,126.3176625219
250253.657082,3688197.375707,33.303971030881,126.317664642403
250253.855909,3688197.386153,33.3039711710835,126.317666772933
250254.052088,3688197.380583,33.3039711663677,126.317668879472
250254.242978,3688197.379339,33.3039711994033,126.317670928065
250254.436979,3688197.391795,33.3039713565973,126.317673006258
250254.635481,3688197.406581,33.3039715358278,126.317675132103
250254.829792,3688197.427288,33.3039717674353,126.317677211345
250255.023484,3688197.453336,33.3039720470218,126.31767928247
250255.21807,3688197.483741,33.3039723660721,126.317681361986
250255.416157,3688197.505493,33.3039726079701,126.317683481455
250255.604037,3688197.5402,33.3039729642271,126.317685487828
250255.79031,3688197.587613,33.3039734345931,126.317687473451
250255.978818,3688197.637988,33.3039739321646,126.317689482237
250256.164513,3688197.700171,33.3039745354746,126.317691457581
250256.350148,3688197.765408,33.3039751662872,126.317693431438
250256.533753,3688197.836766,33.3039758517796,126.317695381823
250256.7132,3688197.916788,33.303976614371,126.317697285202
250256.881479,3688198.005239,33.3039774503195,126.317699066422
250257.048697,3688198.099069,33.3039783344869,126.317700834772
250257.228365,3688198.182677,33.3039791294395,126.317702739533
250257.397516,3688198.285913,33.3039800988032,126.317704526028
250257.56325,3688198.393333,33.3039811050728,126.317706274704
250257.71495,3688198.519771,33.3039822794423,126.317707867546
250257.858388,3688198.653941,33.3039835215623,126.317709369603
250258.002063,3688198.783118,33.3039847187502,126.317710875581
250258.125462,3688198.939962,33.303986160519,126.31771215636
250258.241267,3688199.093588,33.3039875715333,126.317713356545
250258.341203,3688199.261861,33.3039891108395,126.317714382412
250258.435747,3688199.435844,33.3039907003431,126.317715348847
250258.510042,3688199.61115,33.3039922970738,126.317716097644
250258.564115,3688199.791193,33.303993931798,126.317716628153
250258.616417,3688199.975874,33.3039956079002,126.317717138378
250258.666508,3688200.166666,33.3039973385502,126.317717623192
250258.680473,3688200.36127,33.3039990951734,126.317717719322
250258.701072,3688200.558209,33.3040008743725,126.317717885991
250258.716635,3688200.755511,33.3040026556751,126.317717998523
250258.715322,3688200.952987,33.304004434634,126.317717929927
250258.692212,3688201.146336,33.3040061713566,126.317717628589
250258.66216,3688201.343866,33.3040079441411,126.317717251609
250258.609053,3688201.531867,33.3040096257255,126.317716629878
250258.548415,3688201.720242,33.3040113089341,126.317715927237
250258.476097,3688201.905711,33.3040129632526,126.317715100072
250258.377888,3688202.078764,33.3040144997017,126.317713998522
250258.284555,3688202.247523,33.3040159985918,126.317712950478
250258.164325,3688202.402461,33.3040173667204,126.317711617643
250258.032059,3688202.550717,33.3040186718544,126.317710157506
250257.884462,3688202.675516,33.3040197620869,126.317708539343
250257.7295,3688202.792883,33.3040207836499,126.317706844204
250257.552037,3688202.881126,33.3040215375898,126.317704915667
250257.376457,3688202.954955,33.3040221620956,126.317703011314
250257.189409,3688203.022216,33.3040227247656,126.317700985723
250257.002051,3688203.075015,33.3040231570607,126.317698960796
250256.808823,3688203.099622,33.3040233339847,126.317696880666
250256.61294,3688203.123053,33.3040234996976,126.317694772373
250256.416797,3688203.142929,33.3040236333195,126.317692662271
250256.221485,3688203.151621,33.3040236663659,126.317690564172
250256.023927,3688203.156703,33.3040236663655,126.317688442971
250255.826117,3688203.161792,33.3040236663697,126.317686319063
