X(E/m),Y(N/m)
250254.612425916391658,3688203.152298404369503
250254.752413661306491,3688203.159796045627445
250254.892686726234388,3688203.178385102655739
250255.023360975523246,3688203.186122333630919
250255.163348721456714,3688203.193619981408119
250255.294308287469903,3688203.212448626756668
250255.434296032588463,3688203.219946279190481
250255.564970280247508,3688203.227683517150581
250255.705243344069459,3688203.246272584423423
250255.845231085433625,3688203.253770242445171
250255.985218826390337,3688203.261267902329564
250256.125206567056011,3688203.268765563610941
250256.265194309642538,3688203.276263227686286
250256.405182049522409,3688203.283760895021260
250256.554197965131607,3688203.279927567113191
250256.684586891409708,3688203.276573408395052
250256.833602806669660,3688203.272740086074919
250256.963706417242065,3688203.258294517640024
250257.102838202408748,3688203.232517956290394
250257.241969990456710,3688203.206741399131715
250257.381101776671130,3688203.180964842904359
250257.510349434189266,3688203.133245047181845
250257.639882409916027,3688203.096616665832698
250257.769130069529638,3688203.048896873369813
250257.898092413262930,3688202.990085670724511
250258.017741266055964,3688202.931514050811529
250258.127791306324070,3688202.862090604379773
250258.256183021527249,3688202.781096582300961
250258.356919567595469,3688202.711912718135864
250258.466969612549292,3688202.642489274032414
250258.557822036586003,3688202.551362169440836
250258.657987957587466,3688202.459995485376567
250258.739241573843174,3688202.358016551006585
250258.829808687296463,3688202.255798038095236
250258.901748809352284,3688202.154058685991913
250258.973688935337123,3688202.052319335751235
250259.045343747304287,3688201.939488573931158
250259.107685065391706,3688201.826897392049432
250259.169741067133145,3688201.703214800450951
250259.222483574558282,3688201.579771789256483
250259.256599093554541,3688201.456807937938720
250259.299742792354664,3688201.322513095568866
250259.333858313533710,3688201.199549244716763
250259.358375021896791,3688201.065733562689275
250259.373578234371962,3688200.932157461531460
250259.370154453878058,3688200.799060519784689
250259.366730673587881,3688200.665963577106595
250259.353708081209334,3688200.522014803253114
250259.331657306582201,3688200.389397021383047
250259.300007716898108,3688200.245927408803254
250259.268358128756518,3688200.102457795292139
250259.227680357493227,3688199.970319172833115
250259.177689085161546,3688199.838420132175088
250259.127697814081330,3688199.706521092448384
250259.077991856931476,3688199.585713462438434
250259.018972398451297,3688199.465145413763821
250258.950639442628017,3688199.344816945493221
250258.891334665881004,3688199.213157485704869
250258.804660023190081,3688199.104399591684341
250258.736612378183054,3688198.995162536390126
250258.659251230768859,3688198.886165062431246
250258.572576582839247,3688198.777407170739025
250258.496071381843649,3688198.701683935243636
250258.409682046563830,3688198.604017454199493
250258.313979210390244,3688198.506590557284653
250258.218276372557739,3688198.409163659904152
250258.123144167504506,3688198.333919587545097
250258.018698456784477,3688198.258915096521378
250257.913967433007201,3688198.172819195315242
250257.809521721355850,3688198.097814708016813
250257.705361324769910,3688198.033901632297784
250257.591602108092047,3688197.959136726334691
250257.459501211735187,3688197.895942397881299
250257.345741993805859,3688197.821177497506142
250257.222954588825814,3688197.757743590511382
250257.091139002237469,3688197.705640677362680
250256.968351596384309,3688197.642206773627549
250256.855448324087774,3688197.600716113112867
250256.732946232979884,3688197.548373622819781
250256.601415958371945,3688197.507362130098045
250256.469885682337917,3688197.466350638307631
250256.338355405052425,3688197.425339147448540
250256.207395760866348,3688197.406510483473539
250256.066837299615145,3688197.376829992048442
250255.926278837316204,3688197.347149502020329
250255.795033874455839,3688197.317229430191219
250255.655046045634663,3688197.309731768909842
250255.514772899769014,3688197.291142697911710
250255.374499753233977,3688197.272553626913577
250255.243825425772229,3688197.264816387090832
250255.113151095603826,3688197.257079149130732
250254.982762087078299,3688197.260433324612677
250254.861115939362207,3688197.241365093737841
